level_name,observation_type,seed,win,lose,success,steps,total_reward,elapsed_sec,error
build_level_maze_turns,level,2,True,False,True,10,-27.0,0.276610333006829,
build_level_maze_turns,level,3,True,False,True,10,-27.0,0.26170016700052656,
build_level_maze_turns,level,4,True,False,True,10,-27.0,0.3330469169886783,
build_level_maze_turns,level,5,True,False,True,10,-27.0,0.23816670800442807,
build_level_optional_coin,level,1,True,False,True,10,-27.0,0.2612223750038538,
build_level_optional_coin,level,2,True,False,True,10,-27.0,0.19662029200117104,
build_level_optional_coin,level,3,True,False,True,10,-27.0,0.17880037502618507,
build_level_optional_coin,level,4,True,False,True,10,-27.0,0.2630608750041574,
build_level_optional_coin,level,5,True,False,True,10,-27.0,0.19602012500399724,
build_level_portal_shortcut,level,1,True,False,True,8,-21.0,0.14350491599179804,
build_level_portal_shortcut,level,2,True,False,True,8,-21.0,0.15346395800588652,
build_level_portal_shortcut,level,3,True,False,True,8,-21.0,0.180104917002609,
build_level_portal_shortcut,level,4,True,False,True,8,-21.0,0.14707395798177458,
build_level_portal_shortcut,level,5,True,False,True,8,-21.0,0.14708729198900983,
build_level_power_boots,level,1,True,False,True,10,-27.0,0.6099143750034273,
build_level_power_boots,level,2,True,False,True,10,-27.0,0.5467727089999244,
build_level_power_boots,level,3,True,False,True,10,-27.0,0.5282543329813052,
build_level_power_boots,level,4,True,False,True,10,-27.0,0.5123967500112485,
build_level_power_boots,level,5,True,False,True,10,-27.0,0.6603591250022873,
build_level_power_ghost,level,1,True,False,True,17,-48.0,0.7244048749853391,
build_level_power_ghost,level,2,True,False,True,17,-48.0,1.0023335829901043,
build_level_power_ghost,level,3,True,False,True,17,-48.0,0.6741819169837981,
build_level_power_ghost,level,4,True,False,True,17,-48.0,0.9360522089991719,
build_level_power_ghost,level,5,True,False,True,17,-48.0,0.7396496250003111,
build_level_power_shield,level,1,True,False,True,15,-42.0,0.5108927080000285,
build_level_power_shield,level,2,True,False,True,15,-42.0,0.5568792090052739,
build_level_power_shield,level,3,True,False,True,15,-42.0,0.5213971670018509,
build_level_power_shield,level,4,True,False,True,15,-42.0,0.5042279580084141,
build_level_power_shield,level,5,True,False,True,15,-42.0,0.5195505839947145,
build_level_pushable_box,level,1,True,False,True,8,-21.0,0.15310391699313186,
build_level_pushable_box,level,2,True,False,True,8,-21.0,0.27064654100104235,
build_level_pushable_box,level,3,True,False,True,8,-21.0,0.23755300001357682,
build_level_pushable_box,level,4,True,False,True,8,-21.0,0.14724016599939205,
build_level_pushable_box,level,5,True,False,True,8,-21.0,0.14997583298827522,
build_level_required_one,level,1,True,False,True,9,-24.0,0.2400417079916224,
build_level_required_one,level,2,True,False,True,9,-24.0,0.29921287499018945,
build_level_required_one,level,3,True,False,True,9,-24.0,0.23307516699424013,
build_level_required_one,level,4,True,False,True,9,-24.0,0.2947189169935882,
build_level_required_one,level,5,True,False,True,9,-24.0,0.24580862498260103,
build_level_required_two,level,1,True,False,True,22,-63.0,0.8917541250120848,
build_level_required_two,level,2,True,False,True,22,-63.0,0.8248574999743141,
build_level_required_two,level,3,True,False,True,22,-63.0,0.7942554170149378,
build_level_required_two,level,4,True,False,True,22,-63.0,0.8604039589990862,
build_level_required_two,level,5,True,False,True,22,-63.0,0.8240356250025798,
build_level_basic_movement,image,1,True,False,True,4,-9.0,0.39753004201338626,
build_level_basic_movement,image,2,True,False,True,4,-9.0,0.2562880000041332,
build_level_basic_movement,image,3,True,False,True,4,-9.0,0.32553975001792423,
build_level_basic_movement,image,4,True,False,True,4,-9.0,0.2668935830006376,
build_level_basic_movement,image,5,True,False,True,4,-9.0,0.25052912498358637,
build_level_capstone,image,1,True,False,True,33,-96.0,2.5551871659990866,
build_level_capstone,image,2,True,False,True,33,-96.0,2.6122194169729482,
build_level_capstone,image,3,True,False,True,33,-96.0,2.7790543750161305,
build_level_capstone,image,4,True,False,True,33,-96.0,2.549677375005558,
build_level_capstone,image,5,True,False,True,33,-96.0,2.4313959999999497,
build_level_enemy_patrol,image,1,True,False,True,10,-27.0,2.484893374989042,
build_level_enemy_patrol,image,2,True,False,True,10,-27.0,2.409587583009852,
build_level_enemy_patrol,image,3,False,True,False,4,-9.0,0.7700161660031881,
build_level_enemy_patrol,image,4,True,False,True,10,-27.0,2.6142877910169773,
build_level_enemy_patrol,image,5,True,False,True,10,-27.0,2.4321592499909457,
build_level_hazard_detour,image,1,True,False,True,16,-45.0,1.3993504589889199,
build_level_hazard_detour,image,2,True,False,True,16,-45.0,1.1801498340209946,
build_level_hazard_detour,image,3,True,False,True,16,-45.0,1.345338459010236,
build_level_hazard_detour,image,4,True,False,True,16,-45.0,1.198866040998837,
build_level_hazard_detour,image,5,True,False,True,16,-45.0,1.1872971249977127,
build_level_key_door,image,1,True,False,True,12,-33.0,1.6256518340087496,
build_level_key_door,image,2,True,False,True,12,-33.0,1.3583547080052085,
build_level_key_door,image,3,True,False,True,12,-33.0,1.2618122080166359,
build_level_key_door,image,4,True,False,True,12,-33.0,1.259485874994425,
build_level_key_door,image,5,True,False,True,12,-33.0,2.639192583010299,
build_level_maze_turns,image,1,True,False,True,10,-27.0,2.0887522909906693,
build_level_maze_turns,image,2,True,False,True,10,-27.0,1.344088624988217,
build_level_maze_turns,image,3,True,False,True,10,-27.0,1.0515262499975506,
build_level_maze_turns,image,4,True,False,True,10,-27.0,1.1692052080179565,
build_level_maze_turns,image,5,True,False,True,10,-27.0,0.9820962079975288,
build_level_optional_coin,image,1,True,False,True,10,-27.0,1.4722540829970967,
build_level_optional_coin,image,2,True,False,True,10,-27.0,1.0344062079966534,
build_level_optional_coin,image,3,True,False,True,10,-27.0,1.0685852500027977,
build_level_optional_coin,image,4,True,False,True,10,-27.0,1.107955416024197,
build_level_optional_coin,image,5,True,False,True,10,-27.0,0.8380492909927852,
build_level_portal_shortcut,image,1,True,False,True,8,-21.0,0.7071880000003148,
build_level_portal_shortcut,image,2,True,False,True,8,-21.0,0.950334291002946,
build_level_portal_shortcut,image,3,True,False,True,8,-21.0,0.7677789580193348,
build_level_portal_shortcut,image,4,True,False,True,8,-21.0,0.7910769169975538,
build_level_portal_shortcut,image,5,True,False,True,8,-21.0,1.0022115420142654,
build_level_power_boots,image,1,True,False,True,10,-27.0,1.8157302500039805,
build_level_power_boots,image,2,True,False,True,10,-27.0,1.2797464579925872,
build_level_power_boots,image,3,False,True,False,7,-18.0,0.9842876250040717,
build_level_power_boots,image,4,True,False,True,10,-27.0,1.2110970829962753,
build_level_power_boots,image,5,True,False,True,10,-27.0,1.2604422090225853,
build_level_power_ghost,image,1,True,False,True,17,-48.0,1.7007354999950621,
build_level_power_ghost,image,2,True,False,True,17,-48.0,1.9242574170057196,
build_level_power_ghost,image,3,True,False,True,17,-48.0,1.6299546669761185,
build_level_power_ghost,image,4,True,False,True,17,-48.0,1.7498097080097068,
build_level_power_ghost,image,5,True,False,True,17,-48.0,1.8512556249916088,
build_level_power_shield,image,1,True,False,True,15,-42.0,1.2816795840044506,
build_level_power_shield,image,2,True,False,True,15,-42.0,1.1608522500027902,
build_level_power_shield,image,3,True,False,True,15,-42.0,1.3525704169878736,
build_level_power_shield,image,4,True,False,True,15,-42.0,1.2975921669858508,
build_level_power_shield,image,5,True,False,True,15,-42.0,1.1518864580139052,
build_level_pushable_box,image,1,True,False,True,8,-21.0,0.8096247499925084,
build_level_pushable_box,image,2,True,False,True,8,-21.0,0.7378962080110796,
build_level_pushable_box,image,3,True,False,True,8,-21.0,0.8658443749882281,
build_level_pushable_box,image,4,True,False,True,8,-21.0,0.886191208002856,
build_level_pushable_box,image,5,True,False,True,8,-21.0,0.9111039169947617,
build_level_required_one,image,1,True,False,True,9,-24.0,0.787123625021195,
build_level_required_one,image,2,True,False,True,9,-24.0,0.7260820409865119,
build_level_required_one,image,3,True,False,True,9,-24.0,0.7643896669906098,
build_level_required_one,image,4,True,False,True,9,-24.0,0.764451791997999,
build_level_required_one,image,5,True,False,True,9,-24.0,0.7178423330187798,
build_level_required_two,image,1,True,False,True,22,-63.0,2.0536598339967895,
build_level_required_two,image,2,True,False,True,22,-63.0,1.9994677919894457,
build_level_required_two,image,3,True,False,True,22,-63.0,1.916091207996942,
build_level_required_two,image,4,True,False,True,22,-63.0,2.1069237909978256,
build_level_required_two,image,5,True,False,True,22,-63.0,2.183614417008357,
